Data,Rank,Artista,Música
"WEEK OF NOVEMBER 16, 2024",1,DJ Glenner & MC Tuto,Barbie
"WEEK OF NOVEMBER 16, 2024",2,Grupo Menos E Mais,Coraco Partido (Corazon Partio) [Ao Vivo]
"WEEK OF NOVEMBER 16, 2024",3,Henrique & Juliano,Ultima Saudade
"WEEK OF NOVEMBER 16, 2024",4,Leo Foguete,Ultima Noite
"WEEK OF NOVEMBER 16, 2024",5,The Weeknd & Anitta,Sao Paulo
"WEEK OF NOVEMBER 16, 2024",6,"MC Cebezinho, MC Tuto, MC Kako, MC LUUKY & MC Kadu",A Danada Me Ligando
"WEEK OF NOVEMBER 16, 2024",7,Lady Gaga & Bruno Mars,Die With A Smile
"WEEK OF NOVEMBER 16, 2024",8,Pedro Sampaio & Marina Sena,Escada Do Predio
"WEEK OF NOVEMBER 16, 2024",9,"MC Joaozinho VT, MC Tuto & Deejhay RB",Vida de Artista
"WEEK OF NOVEMBER 16, 2024",10,Jorge E Mateus & Henrique & Juliano,Xonei
"WEEK OF NOVEMBER 16, 2024",11,Gusttavo Lima,A Noite (La Notte)
"WEEK OF NOVEMBER 16, 2024",12,"MC Jvila, Ryan SP, Marks, Aaron Modesto, Magal, Bruno MS, LUUKY & DJ Dael",365 Dias (Vida Mansa)
"WEEK OF NOVEMBER 16, 2024",13,Murilo Huff & Ana Castela,Peca Intima
"WEEK OF NOVEMBER 16, 2024",14,"MC Joaozinho VT, MC Vine7, MC Tuto, MC Duzinho SP, MC LUUKY & MC Ryan SP",Tropa Do Sem K.O
"WEEK OF NOVEMBER 16, 2024",15,Maiara & Maraisa,Vai La
"WEEK OF NOVEMBER 16, 2024",16,MC Livinho & DJ Topo,"Mtg Na Imaginaçao (Topo Sessions, Vol. 1)"
"WEEK OF NOVEMBER 16, 2024",17,ROSE & Bruno Mars,APT.
"WEEK OF NOVEMBER 16, 2024",18,"MC GP, MC Jvila & MC LUUKY Featuring DJ Yuri Pedrada",300 No 7
"WEEK OF NOVEMBER 16, 2024",19,Matheus Fernandes & Matheus E Kauan,Triplex
"WEEK OF NOVEMBER 16, 2024",20,Hugo & Guilherme & Maiara & Maraisa,O Meu Coracao Em Suas Maos (Colgando En Tu Manso) [Ao Vivo]
"WEEK OF NOVEMBER 16, 2024",21,Felipe & Rodrigo,Gosta de Rua
"WEEK OF NOVEMBER 16, 2024",22,Kaique & Felipe / Luan Pereira,Saveiro
"WEEK OF NOVEMBER 16, 2024",23,Ferrugem & Sorriso Maroto,Apaguei Pra Todos (Ao Vivo)
"WEEK OF NOVEMBER 16, 2024",24,Matue,Crack Com Mussilon
"WEEK OF NOVEMBER 16, 2024",25,MC LUUKY & Oldilla,Nem Ligo Pro Amor
"WEEK OF NOVEMBER 9, 2024",1,DJ Glenner & MC Tuto,Barbie
"WEEK OF NOVEMBER 9, 2024",2,Henrique & Juliano,Ultima Saudade
"WEEK OF NOVEMBER 9, 2024",3,Grupo Menos E Mais,Coraco Partido (Corazon Partio) [Ao Vivo]
"WEEK OF NOVEMBER 9, 2024",4,Leo Foguete,Ultima Noite
"WEEK OF NOVEMBER 9, 2024",5,"MC Cebezinho, MC Tuto, MC Kako, MC LUUKY & MC Kadu",A Danada Me Ligando
"WEEK OF NOVEMBER 9, 2024",6,Lady Gaga & Bruno Mars,Die With A Smile
"WEEK OF NOVEMBER 9, 2024",7,ROSE & Bruno Mars,APT.
"WEEK OF NOVEMBER 9, 2024",8,Pedro Sampaio & Marina Sena,Escada Do Predio
"WEEK OF NOVEMBER 9, 2024",9,"MC Jvila, Ryan SP, Marks, Aaron Modesto, Magal, Bruno MS, LUUKY & DJ Dael",365 Dias (Vida Mansa)
"WEEK OF NOVEMBER 9, 2024",10,Jorge E Mateus & Henrique & Juliano,Xonei
"WEEK OF NOVEMBER 9, 2024",11,Murilo Huff & Ana Castela,Peca Intima
"WEEK OF NOVEMBER 9, 2024",12,"MC Joaozinho VT, MC Tuto & Deejhay RB",Vida de Artista
"WEEK OF NOVEMBER 9, 2024",13,Kaique & Felipe / Luan Pereira,Saveiro
"WEEK OF NOVEMBER 9, 2024",14,Felipe & Rodrigo,Gosta de Rua
"WEEK OF NOVEMBER 9, 2024",15,Hugo & Guilherme & Maiara & Maraisa,O Meu Coracao Em Suas Maos (Colgando En Tu Manso) [Ao Vivo]
"WEEK OF NOVEMBER 9, 2024",16,Matue,Crack Com Mussilon
"WEEK OF NOVEMBER 9, 2024",17,Gusttavo Lima,A Noite (La Notte)
"WEEK OF NOVEMBER 9, 2024",18,Matheus Fernandes & Matheus E Kauan,Triplex
"WEEK OF NOVEMBER 9, 2024",19,Maiara & Maraisa,Vai La
"WEEK OF NOVEMBER 9, 2024",20,MC Livinho & DJ Topo,"Mtg Na Imaginaçao (Topo Sessions, Vol. 1)"
"WEEK OF NOVEMBER 9, 2024",21,Lady Gaga,Disease
"WEEK OF NOVEMBER 9, 2024",22,"MC GP, MC Jvila & MC LUUKY Featuring DJ Yuri Pedrada",300 No 7
"WEEK OF NOVEMBER 9, 2024",23,Israel & Rodolffo,Arruma Um Bao
"WEEK OF NOVEMBER 9, 2024",24,Matheus & Kauan,Cronometro
"WEEK OF NOVEMBER 9, 2024",25,"The Box: MC Brinquedo, MC Cebezinho, MC Tuto & MC Laranjinha",The Box Medley Funk 2
"WEEK OF NOVEMBER 2, 2024",1,Henrique & Juliano,Ultima Saudade
"WEEK OF NOVEMBER 2, 2024",2,Grupo Menos E Mais,Coraco Partido (Corazon Partio) [Ao Vivo]
"WEEK OF NOVEMBER 2, 2024",3,DJ Glenner & MC Tuto,Barbie
"WEEK OF NOVEMBER 2, 2024",4,Leo Foguete,Ultima Noite
"WEEK OF NOVEMBER 2, 2024",5,"MC Cebezinho, MC Tuto, MC Kako, MC LUUKY & MC Kadu",A Danada Me Ligando
"WEEK OF NOVEMBER 2, 2024",6,Lady Gaga & Bruno Mars,Die With A Smile
"WEEK OF NOVEMBER 2, 2024",7,ROSE & Bruno Mars,APT.
"WEEK OF NOVEMBER 2, 2024",8,Jorge E Mateus & Henrique & Juliano,Xonei
"WEEK OF NOVEMBER 2, 2024",9,Kaique & Felipe / Luan Pereira,Saveiro
"WEEK OF NOVEMBER 2, 2024",10,Gusttavo Lima,A Noite (La Notte)
"WEEK OF NOVEMBER 2, 2024",11,Pedro Sampaio & Marina Sena,Escada Do Predio
"WEEK OF NOVEMBER 2, 2024",12,"MC Jvila, Ryan SP, Marks, Aaron Modesto, Magal, Bruno MS, LUUKY & DJ Dael",365 Dias (Vida Mansa)
"WEEK OF NOVEMBER 2, 2024",13,Hugo & Guilherme & Maiara & Maraisa,O Meu Coracao Em Suas Maos (Colgando En Tu Manso) [Ao Vivo]
"WEEK OF NOVEMBER 2, 2024",14,Matue,Crack Com Mussilon
"WEEK OF NOVEMBER 2, 2024",15,Felipe & Rodrigo,Gosta de Rua
"WEEK OF NOVEMBER 2, 2024",16,Maiara & Maraisa,Vai La
"WEEK OF NOVEMBER 2, 2024",17,Murilo Huff & Ana Castela,Peca Intima
"WEEK OF NOVEMBER 2, 2024",18,Matheus Fernandes & Matheus E Kauan,Triplex
"WEEK OF NOVEMBER 2, 2024",19,"MC Joaozinho VT, MC Tuto & Deejhay RB",Vida de Artista
"WEEK OF NOVEMBER 2, 2024",20,"MC GP, MC Jvila & MC LUUKY Featuring DJ Yuri Pedrada",300 No 7
"WEEK OF NOVEMBER 2, 2024",21,Diego & Victor Hugo,Entregador de Flor (Ao Vivo Em Brasilla)
"WEEK OF NOVEMBER 2, 2024",22,"The Box: MC Brinquedo, MC Cebezinho, MC Tuto & MC Laranjinha",The Box Medley Funk 2
"WEEK OF NOVEMBER 2, 2024",23,Matheus & Kauan,Cronometro
"WEEK OF NOVEMBER 2, 2024",24,DJ L30 Featuring MC Thaizinha,Do Jeito Que Voce Mete
"WEEK OF NOVEMBER 2, 2024",25,Gloria Groove,Nosso Primeiro Beijo
"WEEK OF OCTOBER 26, 2024",1,Henrique & Juliano,Ultima Saudade
"WEEK OF OCTOBER 26, 2024",2,Grupo Menos E Mais,Coraco Partido (Corazon Partio) [Ao Vivo]
"WEEK OF OCTOBER 26, 2024",3,"MC Cebezinho, MC Tuto, MC Kako, MC LUUKY & MC Kadu",A Danada Me Ligando
"WEEK OF OCTOBER 26, 2024",4,Lady Gaga & Bruno Mars,Die With A Smile
"WEEK OF OCTOBER 26, 2024",5,Jorge E Mateus & Henrique & Juliano,Xonei
"WEEK OF OCTOBER 26, 2024",6,Kaique & Felipe / Luan Pereira,Saveiro
"WEEK OF OCTOBER 26, 2024",7,Gusttavo Lima,A Noite (La Notte)
"WEEK OF OCTOBER 26, 2024",8,Felipe & Rodrigo,Gosta de Rua
"WEEK OF OCTOBER 26, 2024",9,Matheus Fernandes & Matheus E Kauan,Triplex
"WEEK OF OCTOBER 26, 2024",10,Hugo & Guilherme & Maiara & Maraisa,O Meu Coracao Em Suas Maos (Colgando En Tu Manso) [Ao Vivo]
"WEEK OF OCTOBER 26, 2024",11,Matue,Crack Com Mussilon
"WEEK OF OCTOBER 26, 2024",12,"MC Jvila, Ryan SP, Marks, Aaron Modesto, Magal, Bruno MS, LUUKY & DJ Dael",365 Dias (Vida Mansa)
"WEEK OF OCTOBER 26, 2024",13,Maiara & Maraisa,Vai La
"WEEK OF OCTOBER 26, 2024",14,Luan Santana,Clone
"WEEK OF OCTOBER 26, 2024",15,Grelo,So Fe
"WEEK OF OCTOBER 26, 2024",16,Henrique & Juliano,Seja Ex
"WEEK OF OCTOBER 26, 2024",17,Gloria Groove,Nosso Primeiro Beijo
"WEEK OF OCTOBER 26, 2024",18,"The Box: MC Brinquedo, MC Cebezinho, MC Tuto & MC Laranjinha",The Box Medley Funk 2
"WEEK OF OCTOBER 26, 2024",19,DJ L30 Featuring MC Thaizinha,Do Jeito Que Voce Mete
"WEEK OF OCTOBER 26, 2024",20,Matheus & Kauan,Cronometro
"WEEK OF OCTOBER 26, 2024",21,"MC GP, MC Jvila & MC LUUKY Featuring DJ Yuri Pedrada",300 No 7
"WEEK OF OCTOBER 26, 2024",22,Ferrugem & Sorriso Maroto,Apaguei Pra Todos (Ao Vivo)
"WEEK OF OCTOBER 26, 2024",23,Grelo,De Graca Ou Pagando
"WEEK OF OCTOBER 26, 2024",24,Traia Veia E Luan Pereira,Wi-Fi
"WEEK OF OCTOBER 26, 2024",25,Jorge & Mateus & Lauana Prado,Havera Sinais
"WEEK OF OCTOBER 19, 2024",1,Grupo Menos E Mais,Coraco Partido (Corazon Partio) [Ao Vivo]
"WEEK OF OCTOBER 19, 2024",2,Henrique & Juliano,Ultima Saudade
"WEEK OF OCTOBER 19, 2024",3,"MC Cebezinho, MC Tuto, MC Kako, MC LUUKY & MC Kadu",A Danada Me Ligando
"WEEK OF OCTOBER 19, 2024",4,Lady Gaga & Bruno Mars,Die With A Smile
"WEEK OF OCTOBER 19, 2024",5,Kaique & Felipe / Luan Pereira,Saveiro
"WEEK OF OCTOBER 19, 2024",6,Jorge E Mateus & Henrique & Juliano,Xonei
"WEEK OF OCTOBER 19, 2024",7,Gusttavo Lima,A Noite (La Notte)
"WEEK OF OCTOBER 19, 2024",8,Matue,Crack Com Mussilon
"WEEK OF OCTOBER 19, 2024",9,Matheus Fernandes & Matheus E Kauan,Triplex
"WEEK OF OCTOBER 19, 2024",10,Felipe & Rodrigo,Gosta de Rua
"WEEK OF OCTOBER 19, 2024",11,Grelo,So Fe
"WEEK OF OCTOBER 19, 2024",12,Grelo,De Graca Ou Pagando
"WEEK OF OCTOBER 19, 2024",13,DJ L30 Featuring MC Thaizinha,Do Jeito Que Voce Mete
"WEEK OF OCTOBER 19, 2024",14,Gloria Groove,Nosso Primeiro Beijo
"WEEK OF OCTOBER 19, 2024",15,Traia Veia E Luan Pereira,Wi-Fi
"WEEK OF OCTOBER 19, 2024",16,"The Box: MC Brinquedo, MC Cebezinho, MC Tuto & MC Laranjinha",The Box Medley Funk 2
"WEEK OF OCTOBER 19, 2024",17,Hugo & Guilherme & Maiara & Maraisa,O Meu Coracao Em Suas Maos (Colgando En Tu Manso) [Ao Vivo]
"WEEK OF OCTOBER 19, 2024",18,"MC GP, MC Jvila & MC LUUKY Featuring DJ Yuri Pedrada",300 No 7
"WEEK OF OCTOBER 19, 2024",19,Luan Pereira & Ana Castela,Depois Do Rodeio
"WEEK OF OCTOBER 19, 2024",20,Matue Featuring Veigh,Imagina Esse Cenario
"WEEK OF OCTOBER 19, 2024",21,"MC Leozin, MC Rick, Boladin 211 & DJ L MARTINS",Sorriso No Rosto
"WEEK OF OCTOBER 19, 2024",22,Luan Santana,Clone
"WEEK OF OCTOBER 19, 2024",23,Matheus & Kauan,Cronometro
"WEEK OF OCTOBER 19, 2024",24,"MC Jvila, Ryan SP, Marks, Aaron Modesto, Magal, Bruno MS, LUUKY & DJ Dael",365 Dias (Vida Mansa)
"WEEK OF OCTOBER 19, 2024",25,"DJ Topo, MC Leozin & Seu Jorge",MTG Quem Nao Quer Sou Eu
"WEEK OF OCTOBER 12, 2024",1,Grupo Menos E Mais,Coraco Partido (Corazon Partio) [Ao Vivo]
"WEEK OF OCTOBER 12, 2024",2,"MC Cebezinho, MC Tuto, MC Kako, MC LUUKY & MC Kadu",A Danada Me Ligando
"WEEK OF OCTOBER 12, 2024",3,Jorge E Mateus & Henrique & Juliano,Xonei
"WEEK OF OCTOBER 12, 2024",4,Matue,Crack Com Mussilon
"WEEK OF OCTOBER 12, 2024",5,Kaique & Felipe / Luan Pereira,Saveiro
"WEEK OF OCTOBER 12, 2024",6,Lady Gaga & Bruno Mars,Die With A Smile
"WEEK OF OCTOBER 12, 2024",7,Felipe & Rodrigo,Gosta de Rua
"WEEK OF OCTOBER 12, 2024",8,Matheus Fernandes & Matheus E Kauan,Triplex
"WEEK OF OCTOBER 12, 2024",9,Grelo,So Fe
"WEEK OF OCTOBER 12, 2024",10,Linkin Park,The Emptiness Machine
"WEEK OF OCTOBER 12, 2024",11,Gusttavo Lima,A Noite (La Notte)
"WEEK OF OCTOBER 12, 2024",12,"The Box: MC Brinquedo, MC Cebezinho, MC Tuto & MC Laranjinha",The Box Medley Funk 2
"WEEK OF OCTOBER 12, 2024",13,Grelo,De Graca Ou Pagando
"WEEK OF OCTOBER 12, 2024",14,Luan Pereira & Ana Castela,Depois Do Rodeio
"WEEK OF OCTOBER 12, 2024",15,Matue Featuring Veigh,Imagina Esse Cenario
"WEEK OF OCTOBER 12, 2024",16,Traia Veia E Luan Pereira,Wi-Fi
"WEEK OF OCTOBER 12, 2024",17,Henrique & Juliano,Ultima Saudade
"WEEK OF OCTOBER 12, 2024",18,Gloria Groove,Nosso Primeiro Beijo
"WEEK OF OCTOBER 12, 2024",19,Luan Santana,Clone
"WEEK OF OCTOBER 12, 2024",20,Matheus & Kauan,Cronometro
"WEEK OF OCTOBER 12, 2024",21,"MC GP, MC Jvila & MC LUUKY Featuring DJ Yuri Pedrada",300 No 7
"WEEK OF OCTOBER 12, 2024",22,Jorge & Mateus & Lauana Prado,Havera Sinais
"WEEK OF OCTOBER 12, 2024",23,Gusttavo Lima,Morar Nesse Motel
"WEEK OF OCTOBER 12, 2024",24,Hugo & Guilherme & Maiara & Maraisa,O Meu Coracao Em Suas Maos (Colgando En Tu Manso) [Ao Vivo]
"WEEK OF OCTOBER 12, 2024",25,DJ L30 Featuring MC Thaizinha,Do Jeito Que Voce Mete
"WEEK OF OCTOBER 5, 2024",1,Matue,Crack Com Mussilon
"WEEK OF OCTOBER 5, 2024",2,Grupo Menos E Mais,Coraco Partido (Corazon Partio) [Ao Vivo]
"WEEK OF OCTOBER 5, 2024",3,"MC Cebezinho, MC Tuto, MC Kako, MC LUUKY & MC Kadu",A Danada Me Ligando
"WEEK OF OCTOBER 5, 2024",4,Kaique & Felipe / Luan Pereira,Saveiro
"WEEK OF OCTOBER 5, 2024",5,Jorge E Mateus & Henrique & Juliano,Xonei
"WEEK OF OCTOBER 5, 2024",6,Matue Featuring Veigh,Imagina Esse Cenario
"WEEK OF OCTOBER 5, 2024",7,Lady Gaga & Bruno Mars,Die With A Smile
"WEEK OF OCTOBER 5, 2024",8,Grelo,So Fe
"WEEK OF OCTOBER 5, 2024",9,Matheus Fernandes & Matheus E Kauan,Triplex
"WEEK OF OCTOBER 5, 2024",10,Felipe & Rodrigo,Gosta de Rua
"WEEK OF OCTOBER 5, 2024",11,Linkin Park,The Emptiness Machine
"WEEK OF OCTOBER 5, 2024",12,Luan Pereira & Ana Castela,Depois Do Rodeio
"WEEK OF OCTOBER 5, 2024",13,Grelo,De Graca Ou Pagando
"WEEK OF OCTOBER 5, 2024",14,"The Box: MC Brinquedo, MC Cebezinho, MC Tuto & MC Laranjinha",The Box Medley Funk 2
"WEEK OF OCTOBER 5, 2024",15,Traia Veia E Luan Pereira,Wi-Fi
"WEEK OF OCTOBER 5, 2024",16,Luan Santana,Clone
"WEEK OF OCTOBER 5, 2024",17,Matue,1993
"WEEK OF OCTOBER 5, 2024",18,Gusttavo Lima,A Noite (La Notte)
"WEEK OF OCTOBER 5, 2024",19,Matheus & Kauan,Cronometro
"WEEK OF OCTOBER 5, 2024",20,Gloria Groove,Nosso Primeiro Beijo
"WEEK OF OCTOBER 5, 2024",21,Matue Featuring Brandao85,Isso E Serio
"WEEK OF OCTOBER 5, 2024",22,"DJ Duarte, MC Lipivox, DJ Kayo Original, MC Random & Prime Funk",Ritmada Interestelar
"WEEK OF OCTOBER 5, 2024",23,Gusttavo Lima,Morar Nesse Motel
"WEEK OF OCTOBER 5, 2024",24,Jorge & Mateus & Lauana Prado,Havera Sinais
"WEEK OF OCTOBER 5, 2024",25,Murilo Huff E Gustavo Mioto,Me Caiu Tao Bem
"WEEK OF SEPTEMBER 28, 2024",1,Matue,Crack Com Mussilon
"WEEK OF SEPTEMBER 28, 2024",2,Kaique & Felipe / Luan Pereira,Saveiro
"WEEK OF SEPTEMBER 28, 2024",3,Matue Featuring Veigh,Imagina Esse Cenario
"WEEK OF SEPTEMBER 28, 2024",4,"MC Cebezinho, MC Tuto, MC Kako, MC LUUKY & MC Kadu",A Danada Me Ligando
"WEEK OF SEPTEMBER 28, 2024",5,Jorge E Mateus & Henrique & Juliano,Xonei
"WEEK OF SEPTEMBER 28, 2024",6,Linkin Park,The Emptiness Machine
"WEEK OF SEPTEMBER 28, 2024",7,Lady Gaga & Bruno Mars,Die With A Smile
"WEEK OF SEPTEMBER 28, 2024",8,Grelo,So Fe
"WEEK OF SEPTEMBER 28, 2024",9,Grupo Menos E Mais,Coraco Partido (Corazon Partio) [Ao Vivo]
"WEEK OF SEPTEMBER 28, 2024",10,Matheus Fernandes & Matheus E Kauan,Triplex
"WEEK OF SEPTEMBER 28, 2024",11,Matue,1993
"WEEK OF SEPTEMBER 28, 2024",12,Felipe & Rodrigo,Gosta de Rua
"WEEK OF SEPTEMBER 28, 2024",13,Luan Santana,Clone
"WEEK OF SEPTEMBER 28, 2024",14,Matue Featuring Brandao85,Isso E Serio
"WEEK OF SEPTEMBER 28, 2024",15,Traia Veia E Luan Pereira,Wi-Fi
"WEEK OF SEPTEMBER 28, 2024",16,Matue Featuring Teto,4Tal
"WEEK OF SEPTEMBER 28, 2024",17,Grelo,De Graca Ou Pagando
"WEEK OF SEPTEMBER 28, 2024",18,"The Box: MC Brinquedo, MC Cebezinho, MC Tuto & MC Laranjinha",The Box Medley Funk 2
"WEEK OF SEPTEMBER 28, 2024",19,Matue,Maria
"WEEK OF SEPTEMBER 28, 2024",20,"DJ Duarte, MC Lipivox, DJ Kayo Original, MC Random & Prime Funk",Ritmada Interestelar
"WEEK OF SEPTEMBER 28, 2024",21,Matue,333
"WEEK OF SEPTEMBER 28, 2024",22,Gusttavo Lima,Morar Nesse Motel
"WEEK OF SEPTEMBER 28, 2024",23,Gusttavo Lima,A Noite (La Notte)
"WEEK OF SEPTEMBER 28, 2024",24,Matue,O Som
"WEEK OF SEPTEMBER 28, 2024",25,Matheus & Kauan,Cronometro
"WEEK OF SEPTEMBER 21, 2024",1,Kaique & Felipe / Luan Pereira,Saveiro
"WEEK OF SEPTEMBER 21, 2024",2,Jorge E Mateus & Henrique & Juliano,Xonei
"WEEK OF SEPTEMBER 21, 2024",3,"MC Cebezinho, MC Tuto, MC Kako, MC LUUKY & MC Kadu",A Danada Me Ligando
"WEEK OF SEPTEMBER 21, 2024",4,Grelo,So Fe
"WEEK OF SEPTEMBER 21, 2024",5,Linkin Park,The Emptiness Machine
"WEEK OF SEPTEMBER 21, 2024",6,Matheus Fernandes & Matheus E Kauan,Triplex
"WEEK OF SEPTEMBER 21, 2024",7,Traia Veia E Luan Pereira,Wi-Fi
"WEEK OF SEPTEMBER 21, 2024",8,Luan Santana,Clone
"WEEK OF SEPTEMBER 21, 2024",9,Lady Gaga & Bruno Mars,Die With A Smile
"WEEK OF SEPTEMBER 21, 2024",10,"The Box: MC Brinquedo, MC Cebezinho, MC Tuto & MC Laranjinha",The Box Medley Funk 2
"WEEK OF SEPTEMBER 21, 2024",11,Felipe & Rodrigo,Gosta de Rua
"WEEK OF SEPTEMBER 21, 2024",12,Matue,Crack Com Mussilon
"WEEK OF SEPTEMBER 21, 2024",13,Grelo,De Graca Ou Pagando
"WEEK OF SEPTEMBER 21, 2024",14,"DJ Duarte, MC Lipivox, DJ Kayo Original, MC Random & Prime Funk",Ritmada Interestelar
"WEEK OF SEPTEMBER 21, 2024",15,Gusttavo Lima,Morar Nesse Motel
"WEEK OF SEPTEMBER 21, 2024",16,Matue Featuring Veigh,Imagina Esse Cenario
"WEEK OF SEPTEMBER 21, 2024",17,Lou Garcia,Nao Fosse Tao Tarde
"WEEK OF SEPTEMBER 21, 2024",18,Matheus & Kauan,Cronometro
"WEEK OF SEPTEMBER 21, 2024",19,Matue Featuring Teto,4Tal
"WEEK OF SEPTEMBER 21, 2024",20,Jorge & Mateus & Lauana Prado,Havera Sinais
"WEEK OF SEPTEMBER 21, 2024",21,Matue,1993
"WEEK OF SEPTEMBER 21, 2024",22,Gustavo Mioto,Eu Fujo
"WEEK OF SEPTEMBER 21, 2024",23,Gloria Groove,Nosso Primeiro Beijo
"WEEK OF SEPTEMBER 21, 2024",24,Murilo Huff E Gustavo Mioto,Me Caiu Tao Bem
"WEEK OF SEPTEMBER 21, 2024",25,Matue Featuring Brandao85,Isso E Serio
"WEEK OF SEPTEMBER 14, 2024",1,Jorge E Mateus & Henrique & Juliano,Xonei
"WEEK OF SEPTEMBER 14, 2024",2,Kaique & Felipe / Luan Pereira,Saveiro
"WEEK OF SEPTEMBER 14, 2024",3,"Nattan, Ze Felipe & O Rei da Batidinha",Patrai
"WEEK OF SEPTEMBER 14, 2024",4,Grelo,So Fe
"WEEK OF SEPTEMBER 14, 2024",5,Traia Veia E Luan Pereira,Wi-Fi
"WEEK OF SEPTEMBER 14, 2024",6,Matheus Fernandes & Matheus E Kauan,Triplex
"WEEK OF SEPTEMBER 14, 2024",7,"The Box: MC Brinquedo, MC Cebezinho, MC Tuto & MC Laranjinha",The Box Medley Funk 2
"WEEK OF SEPTEMBER 14, 2024",8,Felipe & Rodrigo,Gosta de Rua
"WEEK OF SEPTEMBER 14, 2024",9,icaro E Gilmar & Luan Pereira,Diferentona
"WEEK OF SEPTEMBER 14, 2024",10,"MC Cebezinho, MC Tuto, MC Kako, MC LUUKY & MC Kadu",A Danada Me Ligando
"WEEK OF SEPTEMBER 14, 2024",11,Grelo,De Graca Ou Pagando
"WEEK OF SEPTEMBER 14, 2024",12,Luan Santana,Clone
"WEEK OF SEPTEMBER 14, 2024",13,Lady Gaga & Bruno Mars,Die With A Smile
"WEEK OF SEPTEMBER 14, 2024",14,Clayton & Romario,Aproveita
"WEEK OF SEPTEMBER 14, 2024",15,"DJ Duarte, MC Lipivox, DJ Kayo Original, MC Random & Prime Funk",Ritmada Interestelar
"WEEK OF SEPTEMBER 14, 2024",16,Gusttavo Lima,Morar Nesse Motel
"WEEK OF SEPTEMBER 14, 2024",17,Lou Garcia,Nao Fosse Tao Tarde
"WEEK OF SEPTEMBER 14, 2024",18,Gloria Groove,Nosso Primeiro Beijo
"WEEK OF SEPTEMBER 14, 2024",19,Jorge & Mateus & Lauana Prado,Havera Sinais
"WEEK OF SEPTEMBER 14, 2024",20,Mari Fernandez & Ze Felipe,"Louco, Louco"
"WEEK OF SEPTEMBER 14, 2024",21,Murilo Huff E Gustavo Mioto,Me Caiu Tao Bem
"WEEK OF SEPTEMBER 14, 2024",22,"MC LUUKY, MC Ryan SP, DJ Victor, Bolandin 211 & MC Vine7",Sempre Na Simplicidade
"WEEK OF SEPTEMBER 14, 2024",23,Lauana Prado & Ze Neto E Cristiano,Sombra Desconhecida
"WEEK OF SEPTEMBER 14, 2024",24,Matheus & Kauan,Cronometro
"WEEK OF SEPTEMBER 14, 2024",25,DJ SV - Manim Vaqueiro,MTG Forro E Desmantelo
"WEEK OF SEPTEMBER 7, 2024",1,Mari Fernandez & Ze Felipe,"Louco, Louco"
"WEEK OF SEPTEMBER 7, 2024",2,Jorge E Mateus & Henrique & Juliano,Xonei
"WEEK OF SEPTEMBER 7, 2024",3,Grelo,So Fe
"WEEK OF SEPTEMBER 7, 2024",4,icaro E Gilmar & Luan Pereira,Diferentona
"WEEK OF SEPTEMBER 7, 2024",5,Kaique & Felipe / Luan Pereira,Saveiro
"WEEK OF SEPTEMBER 7, 2024",6,Traia Veia E Luan Pereira,Wi-Fi
"WEEK OF SEPTEMBER 7, 2024",7,Matheus Fernandes & Matheus E Kauan,Triplex
"WEEK OF SEPTEMBER 7, 2024",8,"Nattan, Ze Felipe & O Rei da Batidinha",Patrai
"WEEK OF SEPTEMBER 7, 2024",9,"The Box: MC Brinquedo, MC Cebezinho, MC Tuto & MC Laranjinha",The Box Medley Funk 2
"WEEK OF SEPTEMBER 7, 2024",10,Felipe & Rodrigo,Gosta de Rua
"WEEK OF SEPTEMBER 7, 2024",11,Grelo,De Graca Ou Pagando
"WEEK OF SEPTEMBER 7, 2024",12,Clayton & Romario,Aproveita
"WEEK OF SEPTEMBER 7, 2024",13,Gusttavo Lima,Morar Nesse Motel
"WEEK OF SEPTEMBER 7, 2024",14,DJ SV - Manim Vaqueiro,MTG Forro E Desmantelo
"WEEK OF SEPTEMBER 7, 2024",15,Lady Gaga & Bruno Mars,Die With A Smile
"WEEK OF SEPTEMBER 7, 2024",16,Luan Santana,Clone
"WEEK OF SEPTEMBER 7, 2024",17,Lou Garcia,Nao Fosse Tao Tarde
"WEEK OF SEPTEMBER 7, 2024",18,Murilo Huff E Gustavo Mioto,Me Caiu Tao Bem
"WEEK OF SEPTEMBER 7, 2024",19,Jorge & Mateus & Lauana Prado,Havera Sinais
"WEEK OF SEPTEMBER 7, 2024",20,"Oldilla, MCS Gabb, Tato, Boladin, TrapLaudo, LUUKY & Bruno MS",Deixa O Cavalo Correr
"WEEK OF SEPTEMBER 7, 2024",21,"DJ Topo, MC Leozin & Seu Jorge",MTG Quem Nao Quer Sou Eu
"WEEK OF SEPTEMBER 7, 2024",22,"MC LUUKY, MC Ryan SP, DJ Victor, Bolandin 211 & MC Vine7",Sempre Na Simplicidade
"WEEK OF SEPTEMBER 7, 2024",23,Gloria Groove,Nosso Primeiro Beijo
"WEEK OF SEPTEMBER 7, 2024",24,Luisa Sonza & KayBlack,Sagrado Profano
"WEEK OF SEPTEMBER 7, 2024",25,Hugo & Guilherme,Morena De Goiania
"WEEK OF AUGUST 31, 2024",1,Grelo,So Fe
"WEEK OF AUGUST 31, 2024",2,Jorge E Mateus & Henrique & Juliano,Xonei
"WEEK OF AUGUST 31, 2024",3,Matheus Fernandes & Matheus E Kauan,Triplex
